((300.5, 381.7402038574219), (473.4336853027344, 285.0071716308594), (200.8205108642578, 208.93589782714844), (376.5021667480469, 108.65801239013672))
((300.5, 381.7402038574219), (473.4336853027344, 285.0071716308594), (200.8205108642578, 208.93589782714844), (376.5021667480469, 108.65801239013672))
((300.5, 381.7402038574219), (473.4336853027344, 285.0071716308594), (200.8205108642578, 208.93589782714844), (376.5021667480469, 108.65801239013672))
((300.5, 381.7402038574219), (473.4336853027344, 285.0071716308594), (200.8205108642578, 208.93589782714844), (376.5021667480469, 108.65801239013672))
((305.3946228027344, 382.8429260253906), (474.8477478027344, 279.9423828125), (134.0, 128.0), (372.3166809082031, 107.44999694824219))
((305.3946228027344, 382.8429260253906), (474.8477478027344, 279.9423828125), (134.0, 128.0), (372.3166809082031, 107.44999694824219))
((305.3946228027344, 382.8429260253906), (474.8477478027344, 279.9423828125), (134.0, 128.0), (372.3166809082031, 107.44999694824219))
((305.3946228027344, 382.8429260253906), (474.8477478027344, 279.9423828125), (134.0, 128.0), (372.3166809082031, 107.44999694824219))
((305.681640625, 382.846435546875), (474.65728759765625, 279.3849792480469), (199.5, 213.5), (372.0116271972656, 107.32946014404297))
((305.681640625, 382.846435546875), (474.65728759765625, 279.3849792480469), (199.5, 213.5), (372.0116271972656, 107.32946014404297))
((305.681640625, 382.846435546875), (474.65728759765625, 279.3849792480469), (199.5, 213.5), (372.0116271972656, 107.32946014404297))
((305.681640625, 382.846435546875), (474.65728759765625, 279.3849792480469), (199.5, 213.5), (372.0116271972656, 107.32946014404297))
((305.8452453613281, 382.7579345703125), (474.9444580078125, 279.5), (199.470947265625, 213.48318481445312), (371.6415710449219, 107.24372863769531))
((305.8452453613281, 382.7579345703125), (474.9444580078125, 279.5), (199.470947265625, 213.48318481445312), (371.6415710449219, 107.24372863769531))
((305.8452453613281, 382.7579345703125), (474.9444580078125, 279.5), (199.470947265625, 213.48318481445312), (371.6415710449219, 107.24372863769531))
((305.8452453613281, 382.7579345703125), (474.9444580078125, 279.5), (199.470947265625, 213.48318481445312), (371.6415710449219, 107.24372863769531))
((305.9547424316406, 382.6707763671875), (474.7738037109375, 279.1706237792969), (199.35577392578125, 213.35577392578125), (371.5638427734375, 107.06382751464844))
((305.9547424316406, 382.6707763671875), (474.7738037109375, 279.1706237792969), (199.35577392578125, 213.35577392578125), (371.5638427734375, 107.06382751464844))
((305.9547424316406, 382.6707763671875), (474.7738037109375, 279.1706237792969), (199.35577392578125, 213.35577392578125), (371.5638427734375, 107.06382751464844))
((305.9547424316406, 382.6707763671875), (474.7738037109375, 279.1706237792969), (199.35577392578125, 213.35577392578125), (371.5638427734375, 107.06382751464844))
((306.0625, 382.88751220703125), (475.02630615234375, 278.97369384765625), (199.5, 213.5), (371.66326904296875, 107.16666412353516))
